order_id,order_date,customer_id,customer_name,city,region,signup_date,product_id,product_name,category,unit_price,quantity,discount,sales,profit
O0004,23-04-2025,C086,Customer 86,Kolkata,East,01-03-2023,P001,Laptop,Electronics,6094.16,4,0,24376.64,4316.46
O0022,28-08-2024,C052,Customer 52,Hyderabad,South,23-05-2023,P001,Laptop,Electronics,6094.16,5,0,30470.8,7695.82
O0057,12-02-2025,C063,Customer 63,Noida,North,02-09-2024,P001,Laptop,Electronics,6094.16,2,0,12188.32,3022.82
O0075,22-11-2025,C084,Customer 84,Delhi,North,25-04-2023,P001,Laptop,Electronics,6094.16,3,0.05,17368.36,3170.35
O0094,31-12-2025,C003,Customer 3,Kolkata,East,23-05-2023,P001,Laptop,Electronics,6094.16,2,0,12188.32,2217.81
O0119,27-04-2024,C059,Customer 59,Gurugram,North,04-04-2023,P001,Laptop,Electronics,6094.16,2,0,12188.32,2340.99
O0133,29-08-2025,C035,Customer 35,Pune,West,30-12-2023,P001,Laptop,Electronics,6094.16,4,0.05,23157.81,4183.98
O0153,05-11-2024,C071,Customer 71,Pune,West,25-04-2023,P001,Laptop,Electronics,6094.16,3,0,18282.48,2893.46
O0156,17-05-2025,C062,Customer 62,Bengaluru,South,27-11-2024,P001,Laptop,Electronics,6094.16,2,0.15,10360.07,3217.2
O0174,02-10-2025,C073,Customer 73,Bengaluru,South,09-04-2024,P001,Laptop,Electronics,6094.16,2,0,12188.32,3490.11
O0182,26-11-2024,C048,Customer 48,Kolkata,East,03-08-2024,P001,Laptop,Electronics,6094.16,5,0,30470.8,9653.97
O0185,28-06-2024,C053,Customer 53,Kolkata,East,28-07-2024,P001,Laptop,Electronics,6094.16,3,0.1,16454.23,1021.31
O0212,11-04-2025,C097,Customer 97,Kolkata,East,31-12-2024,P001,Laptop,Electronics,6094.16,5,0.2,24376.64,5192.93
O0216,29-10-2025,C097,Customer 97,Kolkata,East,31-12-2024,P001,Laptop,Electronics,6094.16,4,0.05,23157.81,8024.74
O0225,24-09-2025,C008,Customer 8,Mumbai,West,12-08-2023,P001,Laptop,Electronics,6094.16,4,0.2,19501.31,4140.22
O0230,29-05-2024,C010,Customer 10,Jaipur,North,28-01-2023,P001,Laptop,Electronics,6094.16,3,0,18282.48,2970.03
O0237,24-08-2025,C055,Customer 55,Jaipur,North,14-03-2024,P001,Laptop,Electronics,6094.16,1,0.05,5789.45,1931.19
O0249,02-04-2024,C097,Customer 97,Kolkata,East,31-12-2024,P001,Laptop,Electronics,6094.16,5,0,30470.8,8218.22
O0258,19-11-2025,C021,Customer 21,Pune,West,19-12-2023,P001,Laptop,Electronics,6094.16,5,0,30470.8,5680.85
O0280,28-05-2024,C007,Customer 7,Delhi,North,31-01-2023,P001,Laptop,Electronics,6094.16,1,0,6094.16,1874.09
O0285,22-06-2025,C079,Customer 79,Kolkata,East,06-06-2023,P001,Laptop,Electronics,6094.16,1,0,6094.16,1660.75
O0294,25-01-2025,C078,Customer 78,Chennai,South,15-09-2024,P001,Laptop,Electronics,6094.16,5,0.1,27423.72,7230.15
O0297,18-07-2025,C079,Customer 79,Kolkata,East,06-06-2023,P001,Laptop,Electronics,6094.16,1,0.2,4875.33,1201.35
O0298,21-08-2024,C040,Customer 40,Kolkata,East,17-06-2023,P001,Laptop,Electronics,6094.16,2,0.05,11578.9,2147.5
O0299,12-02-2025,C066,Customer 66,Gurugram,North,25-06-2024,P001,Laptop,Electronics,6094.16,4,0,24376.64,7269.74
O0303,16-01-2025,C094,Customer 94,Chennai,South,13-09-2024,P001,Laptop,Electronics,6094.16,1,0.05,5789.45,457.19
O0324,06-10-2024,C073,Customer 73,Bengaluru,South,09-04-2024,P001,Laptop,Electronics,6094.16,4,0.1,21938.98,4006.35
O0357,28-01-2025,C099,Customer 99,Pune,West,24-03-2024,P001,Laptop,Electronics,6094.16,1,0.1,5484.74,1251.75
O0363,25-03-2025,C020,Customer 20,Noida,North,10-04-2023,P001,Laptop,Electronics,6094.16,2,0.15,10360.07,1878.57
O0385,30-03-2025,C091,Customer 91,Bengaluru,South,06-11-2024,P001,Laptop,Electronics,6094.16,3,0.15,15540.11,4131.74
O0398,29-08-2024,C054,Customer 54,Chennai,South,27-09-2023,P001,Laptop,Electronics,6094.16,1,0.05,5789.45,1161.38
O0403,22-03-2024,C017,Customer 17,Hyderabad,South,09-06-2023,P001,Laptop,Electronics,6094.16,4,0.05,23157.81,5432.93
O0416,17-01-2025,C047,Customer 47,Hyderabad,South,09-03-2023,P001,Laptop,Electronics,6094.16,1,0.15,5180.04,860.22
O0421,20-04-2025,C099,Customer 99,Pune,West,24-03-2024,P001,Laptop,Electronics,6094.16,2,0.2,9750.66,2766.68
